#Evaluation,#Solution
6007,8
6007,0
4005,89
6007,8
37,314
6007,0
6007,0
6007,8
4005,146
6007,0
6007,0
6007,0
6007,0
6007,0
6007,8
6007,0
4005,146
6007,2
4005,89
6007,8
6007,8
6007,8
6007,0
6007,0
5,234
6007,8
6007,8
6007,2
6007,2
6007,8
4005,146
6007,0
6007,2
6007,0
6007,0
25,234
6007,0
6007,0
6007,0
6007,0
6007,0
6007,8
6007,2
6007,8
6007,8
1,234
29,234
4005,89
6007,2
6007,0
6007,0
6007,8
6007,0
6007,8
6007,0
4005,146
6007,0
6007,8
6007,8
6007,0
6007,0
6007,0
6007,0
6007,8
6007,0
6007,0
21,314
6007,0
6007,0
6007,0
6007,0
6007,0
6007,0
6007,2
6007,0
6007,8
6007,8
6007,0
6007,8
6007,0
6007,0
6007,8
6007,0
6007,0
6007,8
21,234
6007,2
6007,8
4005,89
17,234
6007,8
6007,0
6007,0
6007,8
6007,8
6007,0
6007,0
6007,8
6007,0
6007,2
